Farmland_L	Farmland_M	Farmland_H	Forest_L	Forest_M	Forest_H	Grassland_L	Grassland_M	Grassland_H	Wetland_L	Wetland_M	Wetland_H
		0.8745711									
		0.88084209									
		0.9036134									
		0.84690956									
		0.87812723									
		0.90126256									
		0.88145548									
		0.90304959									
		0.89268874									
		0.87645703									
		0.89159934									
		0.90002628									
		0.8868915									
		0.87830385									
		0.87209894									
		0.85914268									
		0.86726491									
		0.89112525									
		0.8683313									
		0.87908952									
		0.87115585									
		0.89831192									
		0.88261012									
		0.88299038									
		0.87236242									
		0.87620827									
		0.83728562									
		0.87204308									
		0.87047847									
		0.87567714									
		0.88892909									
		0.88927237									
		0.87945812									
		0.88056409									
		0.89280221									
		0.89281174									
		0.89096611									
		0.86584448									
		0.86534392									
		0.86862714									
		0.87360945									
		0.86769582									
		0.87985008									
		0.87647054									
		0.86554901									
		0.88710662									
		0.8873484									
		0.83672839									
		0.83517607									
		0.83453558									
		0.85586965									
		0.85581563									
		0.85158735									
		0.88421616									
		0.83667191									
		0.89330798									
		0.88104863									
		0.87846517									
		0.90000323									
		0.88318958									
		0.86444102									
		0.87076272									
		0.87741336									
		0.86936057									
		0.86299028									
		0.8892071									
		0.87673656									
		0.86321714									
		0.85728759									
		0.88406965									
		0.85435643									
		0.85696241									
		0.73114806									
		0.85030203									
		0.89889942									
		0.91340442									
		0.8636448									
		0.87164896									
		0.86072684									
		0.85600842									
		0.84937938									
		0.84215829									
		0.82098657									
		0.85053507									
		0.82261573									
		0.44670371									
		0.48871061									
		0.91146312									
		0.92961876									
		0.9381011									
		0.94924645									
		0.96920852									
		0.91910504									
		0.91302192									
		0.88218849									
		0.90822337									
		0.8757029									
		0.90849893									
		0.9803812									
		0.91823363									
		0.92552541									
		0.94421563									
		0.93983411									
		0.81660501									
		0.97268878									
		0.97951576									
		0.9910452									
		1.00561877									
		1.21642986									
		1.03393222									
		1.03241659									
		1.018567									
		1.03330882									
		0.99500264									
